,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Production Budget:,Theater counts:,Infl. Adj. Dom. BO,Domestic Releases:,International Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic DVD Sales,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
0,https://www.the-numbers.com/movie/Escape-Room-(2019),"['Nik Dodani', 'Yorick van Wageningen', 'Taylor Russell', 'Logan Miller', 'Deborah Ann Woll', 'Jay Ellis', 'Tyler Labine']","[['Adam Robitel', 'Director'], ['Neal H. Moritz', 'Producer'], ['Ori Marmur', 'Producer'], ['Maria Melnik', 'Producer'], ['Bragi Schut', 'Screenwriter'], ['Maria Melnik', 'Screenwriter'], ['Bragi Schut', 'Story by'], ['Rebecca Rivo', 'Executive Producer'], ['Marc Spicer', 'Director of Photography'], ['Edward Thomas', 'Production Designer'], ['Steve Mirkovich', 'Editor'], ['Brian Tyler', 'Composer'], ['John Carey', 'Composer']]","$18,238,172 (32.0% of total gross)",3.13 (domestic box office/biggest weekend),36.6% (domestic box office/worldwide),"$9,000,000 (worldwide box office is 17.3 times production budget)","2,717 opening theaters/2,717 max. theaters, 5.6 weeks average run per theater","$65,142,343","January 4th, 2019 (Wide) by Sony Pictures","January 2nd, 2019 (Wide) (Jamaica)
January 2nd, 2019 (Wide) (Trinidad)
January 3rd, 2019 (Wide) (Aruba)
January 3rd, 2019 (Wide) (Curacao)
January 3rd, 2019 (Wide) (Greece)
... Show all releases
","April 9th, 2019 by Sony Pictures Home Entertainment","PG-13 for terror/perilous action, violence, some suggestive material and language.(Rating bulletin 2555 (Cert #51440), 11/28/2018)",109 minutes,Escape Room,vs. The VisitCreate your own comparison chart…,"Ensemble, Escape, Trapped, Corporate Malfeasance, Surprise Twist, Non-Chronological, Dream Sequence, Nightmare, Psychological Horror",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Original Film, Columbia Pictures",United States,English,"$57,000,756","$98,614,971","$155,615,727","$1,222,608","$1,564,203","$2,786,811"
1,https://www.the-numbers.com/movie/How-to-Train-Your-Dragon-The-Hidden-World-(2019),"['America Ferrera', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson', 'Jonah Hill', 'Kristen Wiig', 'F. Murray Abraham', 'Kit Harington', 'Christopher Mintz-Plasse', 'Justin Rupple', 'Jay Baruchel']","[['Dean DeBlois', 'Director'], ['Dean DeBlois', 'Screenwriter'], ['Cressida Cowell', 'Story based on the book “How to Train Your Dragon” by'], ['Brad Lewis', 'Producer'], ['Bonnie Arnold', 'Producer'], ['Dean DeBlois', 'Executive Producer'], ['Chris Sanders', 'Executive Producer']]","$55,022,245 (34.2% of total gross)",2.92 (domestic box office/biggest weekend),30.8% (domestic box office/worldwide),"$129,000,000 (worldwide box office is 4.0 times production budget)","4,259 opening theaters/4,286 max. theaters, 6.4 weeks average run per theater","$183,444,849","February 22nd, 2019 (Wide) by UniversalFebruary 22nd, 2019 (IMAX) by Universal","January 3rd, 2019 (Wide) (Australia)
January 3rd, 2019 (Wide) (New Zealand)
January 11th, 2019 (Wide) (Indonesia)
January 11th, 2019 (Wide) (Lebanon)
January 11th, 2019 (Wide) (Middle East Region)
... Show all releases
","April 30th, 2019 by Universal Home Entertainment","PG for adventure action and some mild rude humor.(Rating bulletin 2549 (Cert #51869), 10/17/2018)",104 minutes,How to Train Your Dragon,vs. UsCreate your own comparison chart…,"Vikings, Dragon, Good vs. Evil, War, Explorer, Delayed Sequel, Dream Sequence, Non-Chronological, 3-D, 3-D - Shot in 3-D, IMAX: DMR",Original Screenplay,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation, Dentsu Inc., Fuji Television Network","Japan, United States",English,"$160,799,505","$360,795,917","$521,595,422","$13,364,132","$22,654,262","$36,018,394"
2,https://www.the-numbers.com/movie/Love-Live-Sunshine-The-School-Idol-Movie-Over-The-Rainbow-(Japan)-(2019),[],[],,,,,,,"August 6th, 2019 (Limited) by Self Distributed","January 4th, 2019 (Wide) (Japan)
February 14th, 2019 (Wide) (South Korea)
March 22nd, 2019 (Wide), released as Love Live! Sunshine!! The School Idol Movie – Over The Rainbow (Australia)
",,,100 minutes,,Create your own comparison chart…,,,Musical,Digital Animation,,,Japan,Japanese,n/a,"$7,697,028","$7,697,028",,,
3,https://www.the-numbers.com/movie/Da-Ren-Wu-(China)(2019),[],[],,,,,,,,"January 5th, 2019 (Wide), released as The Big Shot (China)
",,,90 minutes,,Create your own comparison chart…,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,China,Mandarin,n/a,"$56,040,680","$56,040,680",,,
4,https://www.the-numbers.com/movie/Bai-she-yuan-qi-(China)(2019),"['Tang Xiaoxi', 'Zhang He', 'Zheng Xiaopu', 'Zhang Lei', 'Liu Wei', 'Zhang Yaohan', 'Zhang Boheng', 'Cheng Yin', 'Zhang Zhe', 'Yang Tianxiang']","[['Wong Amp', 'Director'], ['Zhao Ji', 'Director'], ['Zhou Yun', 'Executive Producer'], ['Yuan Ye', 'Executive Producer'], ['Mao Dai', 'Screenwriter'], ['Gary Wang', 'Producer'], ['Gillian Zhao', 'Producer'], ['Cui Di', 'Producer'], ['Yang Xiaoqi', 'Visual Effects Supervisor'], ['Keer Zhu ', 'Editor'], ['Guo Haowei', 'Composer'], ['Gary Chan', 'Sound Designer'], ['Leo Xie', 'Animation Supervisor'], ['Tang Yanwen', 'Production Designer'], ['Yuemei Cui ', 'Art Director']]","$2,791 (8.0% of total gross)",2.06 (domestic box office/biggest weekend),0.1% (domestic box office/worldwide),,"1 opening theaters/21 max. theaters, 1.7 weeks average run per theater","$39,616","November 15th, 2019 (Limited) by GKIDS, released as White Snake","January 8th, 2019 (Wide) (China)
February 9th, 2022 (Wide), released as White Snake (France)
","February 4th, 2020 by Shout Factory, released as White Snake",Not Rated,98 minutes,White Snake,Create your own comparison chart…,,Original Screenplay,Drama,Digital Animation,Fantasy,"Warner Bros., Light Chaser Animation Studios","China, United States",Mandarin,"$34,730","$68,330,000","$68,364,730",,"$17,932","$17,932"
5,https://www.the-numbers.com/movie/Dogs-Way-Home-A-(2019),"['Ashley Judd', 'Jonah Hauer-King', 'Edward James Olmos', 'Alexandra Shipp', 'Wes Studi', 'Chris Bauer', 'Barry Watson', 'Motell Foster', 'Bryce Dallas Howard']","[['Charles Martin Smith', 'Director'], ['Gavin Polone', 'Producer'], ['Bruce Cameron', 'Screenwriter'], ['Cathryn Michon', 'Screenwriter'], ['Bruce Cameron', 'Story based on the book “A Dog’s Way Home” by'], ['Robert J. Dohrmann', 'Executive Producer'], ['T.D. James', 'Executive Producer'], ['Derrick Williams', 'Executive Producer'], ['Yu Dong', 'Executive Producer'], ['Jeffrey Chan', 'Executive Producer'], ['Peter Menzies', 'Director of Photography'], ['Eric Fraser', 'Production Designer'], ['Debra Neil-Fisher', 'Editor'], ['David Clark', 'Editor'], ['Sabrina Plisco', 'Editor'], ['John Papsidera', 'Casting Director'], ['Mychael Danna', 'Composer'], ['Monique Prudhomme', 'Costume Designer'], ['Matthew Welford', 'Visual Effects Supervisor'], ['Bruce Cameron', 'Co-Producer']]","$11,251,263 (26.8% of total gross)",3.73 (domestic box office/biggest weekend),51.7% (domestic box office/worldwide),"$61,000,000 (worldwide box office is 1.3 times production budget)","3,090 opening theaters/3,090 max. theaters, 5.3 weeks average run per theater","$47,860,896","January 11th, 2019 (Wide) by Sony Pictures","January 9th, 2019 (Wide) (Trinidad)
January 10th, 2019 (Wide) (Aruba)
January 10th, 2019 (Wide) (Curacao)
January 10th, 2019 (Wide) (Hungary)
January 10th, 2019 (Wide), released as ПУТЬ ДОМОЙ (Russia (CIS))
... Show all releases
","March 26th, 2019 by Sony Pictures Home Entertainment","PG for thematic elements, some peril and language.(Rating bulletin 2554 (Cert #51441), 11/21/2018)",102 minutes,,vs. The Angry Birds Movie 2Create your own comparison chart…,"Talking Animals, Animal Lead, Missing Pet, Doctors, Road Trip, Family Drama",Original Screenplay,Drama,Live Action,Contemporary Fiction,"Columbia Pictures, Bona Film Group, Pariah Productions",United States,English,"$41,952,715","$39,199,790","$81,152,505","$5,000,457","$3,484,407","$8,484,864"
6,https://www.the-numbers.com/movie/Malmoi-(S-Korea)(2019),[],[],,,,,,,,"January 9th, 2019 (Wide) (South Korea)
February 1st, 2019 (Wide), released as Mal-mo-me: The Secret Mission (Australia)
",,,135 minutes,,Create your own comparison chart…,,Original Screenplay,Drama,Live Action,Historical Fiction,,Republic of Korea,Korean,n/a,"$21,099,312","$21,099,312",,,
7,https://www.the-numbers.com/movie/Naeaneui-Geunom-(S-Korea)(2019),[],[],,,,,,,,"January 9th, 2019 (Wide) (South Korea)
",,,122 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Fantasy,,Republic of Korea,Korean,n/a,"$14,569,310","$14,569,310",,,
8,https://www.the-numbers.com/movie/Non-ci-resta-che-il-crimine-(Italy)-(2019),[],"[['Massimiliano Bruno', 'Director']]",,,,,,,,"January 10th, 2019 (Wide) (Italy)
August 6th, 2020 (Wide), released as All You Need Is Crime (New Zealand)
",,,102 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Italy,Italian,n/a,"$5,313,887","$5,313,887",,,
9,https://www.the-numbers.com/movie/Upside-The-(2019),"['Golshifteh Farahani', 'Aja Naomi King', 'Tate Donovan', 'Jahi Di’Allo Winston', 'Genevieve Angelson', 'Suzanne Savoy', 'Julianna Margulies', 'Nicole Kidman', 'Kevin Hart', 'Bryan Cranston']","[['Neil Burger', 'Director'], ['Jon Hartmere', 'Screenwriter'], ['Olivier Nakache', 'Story Based on the Motion Picture “The Intouchables” by'], ['Eric Toledano', 'Story Based on the Motion Picture “The Intouchables” by'], ['Jason Blumenthal', 'Producer'], ['Todd Black', 'Producer'], ['Steve Tisch', 'Producer'], ['Robert Simonds', 'Executive Producer'], ['Adam Fogelson', 'Executive Producer'], ['Andy Mitchell', 'Executive Producer'], ['Milos Brajovic', 'Executive Producer'], ['Chris Papavasiliou', 'Executive Producer'], ['G. Mac Brown', 'Executive Producer'], ['David Bloomfield', 'Executive Producer'], ['Stuart Dryburgh', 'Director of Photography'], ['Mark Friedberg', 'Production Designer'], ['Naomi Geraghty', 'Editor'], ['Rob Simonsen', 'Composer'], ['Randall Poster', 'Music Supervisor'], ['Kasia Walicka Maimone', 'Costume Designer'], ['Kerry Barden', 'Casting Director'], ['Paul Schnee', 'Casting Director']]","$20,355,000 (18.8% of total gross)",5.32 (domestic box office/biggest weekend),86.0% (domestic box office/worldwide),"$37,500,000 (worldwide box office is 3.4 times production budget)","3,080 opening theaters/3,568 max. theaters, 7.5 weeks average run per theater","$123,478,266","January 11th, 2019 (Wide) by STX Entertainment","January 10th, 2019 (Wide), released as 1+1: Голливудская история (Russia (CIS))
January 11th, 2019 (Wide) (United Kingdom)
January 18th, 2019 (Wide), released as Geroji pusė (Lithuania)
January 25th, 2019 (Wide), released as Olacak İş Değil (Turkey)
February 1st, 2019 (Wide) (Argentina)
... Show all releases
","May 14th, 2019 by Universal Home Entertainment","PG-13 for suggestive content and drug use.(Rating bulletin 2551 (Cert #51337), 10/31/2018)",126 minutes,,vs. GlassCreate your own comparison chart…,"Development Hell, Delayed Release, Wheelchair User, Life on the Outside, Going Legit, Remake, Foreign-Language Remake",Based on Movie,Comedy,Live Action,Dramatization,"STX Films, Lantern Entertainment, Escape Artists",United States,English,"$108,235,497","$17,582,943","$125,818,440","$4,170,945","$3,074,317","$7,245,262"
10,https://www.the-numbers.com/movie/Edmond-(France)-(2019),"['Olivier Gourmet', 'Mathilde Seigner', 'Tom Leeb', 'Lucie Boujenah', 'Alice de Lencquesaing', 'Clementine Celarie', 'Igor Gotesman', 'Dominique Pinon', 'Simon Abkarian', 'Thomas Soliveres']","[['Alexis Michalik', 'Director'], ['Alain Goldman', 'Producer'], ['Vanessa Dijan', 'Co-Producer'], ['Benjamin Bellecour', 'Co-Producer'], ['Sylvain Goldberg', 'Co-Producer'], ['Serge de Poucques', 'Co-Producer'], ['Nadia Khamlichi', 'Co-Producer'], ['Gilles Waterkeyn', 'Co-Producer'], ['Romain Trouillet', 'Composer'], ['Giovanni Fiore Coltellacci', 'Director of Photography'], ['Anny Danche', 'Set Designer'], ['Marie Silvi', 'Set Designer'], ['Niels Barletta', 'Sound Mixer'], ['Fred Demolder', 'Sound Mixer'], ['Antoine Deflandre', 'Sound Mixer'], ['Franck Schwarz', 'Set Decorator'], ['Thierry Delattre', 'Costume Designer'], ['Michaël Lagens', 'Casting Director'], ['Bérangère Saint-Bezar', 'Screenwriter'], ['Stéphane Bidaut', 'Visual Effects Supervisor'], ['Cyrille Bragnier', 'Executive Producer'], ['Bruno Amnestoy', 'Production Manager'], ['Abraham Goldblat', 'Post-Production Supervisor']]","$306,451 (87.3% of total gross)",1.15 (domestic box office/biggest weekend),5.6% (domestic box office/worldwide),,"3 opening theaters/18 max. theaters, 2.7 weeks average run per theater","$400,444","October 18th, 2019 (Limited) by Roadside Attractions, released as Cyrano, My Love","January 11th, 2019 (Wide) (France)
April 4th, 2019 (Wide), released as СИРАНО. УСПЕТЬ ДО ПРЕМЬЕРЫ (Russia (CIS))
April 18th, 2019 (Wide), released as Cyrano mon amour (Italy)
April 19th, 2019 (Wide) (Germany)
June 14th, 2019 (Wide) (Portugal)
... Show all releases
","January 14th, 2020 by Samuel Goldwyn, released as Cyrano, My Love","R for brief sexual content.(Rating bulletin 2596 (Cert #52381), 9/18/2019)",110 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Historical Fiction,"Gaumont, France 2 Cinema, Ezra, Rosemonde Films, C2M Productions, Nexus Factory, Umedia, UFund, Entourage Pictures, OCS., Canal Plus, France Television","Belgium, France","French, Russian","$351,019","$5,947,327","$6,298,346",,,
11,https://www.the-numbers.com/movie/Gekijouban-Fate-Stay-Night-Heaven-s-Feel-II-Lost-Butterfly-(Japan)-(2019),"['Jouji Nakata', 'Noriko Shitaya', 'Ayako Kawasumi', 'Kana Ueda', 'Rikiya Koyama', 'Tomokazu Seki', 'Junichi Suwabe', 'Mai Kadowaki', 'Yuu Asakawa', 'Noriaki Sugiyama']","[['Tomonori Sudō', 'Director'], ['Akira Hiyama', 'Screenwriter'], ['Kinoko Nasu', 'Story by'], ['Tomonori Sudō', 'Storyboard Artist'], ['Tomonori Sudō', 'Chief Animation Director'], ['Tomonori Sudō', 'Character Designer'], ['Yuki Kajiura', 'Composer']]",,,,,,,,"January 11th, 2019 (Wide) (Japan)
March 21st, 2019 (Wide) (South Korea)
March 28th, 2019 (Wide) (New Zealand)
March 29th, 2019 (Wide) (Argentina)
March 29th, 2019 (Wide), released as Fate/stay Night: Heaven’s Feel Ii – Lost Butterfly (Australia)
... Show all releases
",,,117 minutes,Fate/stay Night,vs. Fate Stay/night: Heaven’s Feel I. Presage FlowerCreate your own comparison chart…,,Based on Comic/Graphic Novel,Adventure,Digital Animation,Fantasy,"Type-Moon, Ufotable",Japan,Japanese,n/a,"$19,790,000","$19,790,000",,,
12,https://www.the-numbers.com/movie/invisibles-Les-(France)-(2019),[],"[['Louis-Julien Petit', 'Director']]",,,,,,,,"January 11th, 2019 (Wide) (France)
March 29th, 2019 (Wide), released as Las Invisibles (Spain)
April 18th, 2019 (Wide), released as Le invisibili (Italy)
April 19th, 2019 (Wide) (Germany)
May 10th, 2019 (Wide) (Netherlands)
... Show all releases
",,,102 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,France,French,n/a,"$18,930,111","$18,930,111",,,
13,https://www.the-numbers.com/movie/Underdog-(Poland)-(2019),[],"[['Maciej Kawulski', 'Director']]",,,,,,,,"January 11th, 2019 (Wide) (Poland)
January 18th, 2019 (Wide) (United Kingdom)
",,,116 minutes,,vs. Tron: LegacyCreate your own comparison chart…,,Original Screenplay,Action,Live Action,,,Poland,Polish,n/a,"$5,165,131","$5,165,131",,,
14,https://www.the-numbers.com/movie/Dragon-Force-Rise-of-Ultraman-(China)(2019),[],[],,,,,,,,"January 13th, 2019 (Wide) (China)
",,,90 minutes,,Create your own comparison chart…,,Original Screenplay,Action,Digital Animation,Science Fiction,,China,Mandarin,n/a,"$5,755,641","$5,755,641",,,
15,https://www.the-numbers.com/movie/Glass-(2019),"['Anya Taylor-Joy', 'Sarah Paulson', 'James McAvoy', 'Bruce Willis', 'Samuel L. Jackson']","[['M. Night Shyamalan', 'Director'], ['M. Night Shyamalan', 'Screenwriter'], ['M. Night Shyamalan', 'Producer'], ['Jason Blum', 'Producer'], ['Ashwin Rajan', 'Producer'], ['Marc Bienstock', 'Producer'], ['Steven Schneider', 'Executive Producer'], ['Gary Barber', 'Executive Producer'], ['Roger Birnbaum', 'Executive Producer'], ['Kevin Frakes', 'Executive Producer'], ['Michael Gioulakis', 'Director of Photography'], ['Chris Trujillo', 'Production Designer'], ['Luke Ciarrocchi', 'Editor'], ['Blu Murray', 'Editor'], ['Paco Delgado', 'Costume Designer'], ['West Dylan Thordson', 'Composer'], ['Douglas Aibel', 'Casting Director']]","$40,328,920 (36.3% of total gross)",2.75 (domestic box office/biggest weekend),45.0% (domestic box office/worldwide),"$20,000,000 (worldwide box office is 12.3 times production budget)","3,841 opening theaters/3,844 max. theaters, 5.3 weeks average run per theater","$126,687,388","January 18th, 2019 (Wide) by Universal","January 17th, 2019 (Wide) (Italy)
January 17th, 2019 (Wide) (South Korea)
January 18th, 2019 (Wide) (Argentina)
January 18th, 2019 (Wide) (Australia)
January 18th, 2019 (Wide) (Brazil)
... Show all releases
","April 2nd, 2019 by Universal Home Entertainment","PG-13 for violence including some bloody images, thematic elements, and language.(Rating bulletin 2547 (Cert #51808), 10/3/2018)",128 minutes,Unbreakable,vs. SplitCreate your own comparison chart…,"Super Villains, Villain's Point of View, Mental Hospital, Split Personality, Good vs. Evil, IMAX: DMR",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Blinding Edge Pictures, Blumhouse, Buena Vista Intl, Universal Pictures",United States,English,"$111,048,468","$135,950,571","$246,999,039","$6,602,839","$10,192,292","$16,795,131"
16,https://www.the-numbers.com/movie/Eiga-Token-ranbu-(Japan)-(2019),[],"[['Saiji Yakumo', 'Director']]",,,,,,,,"January 18th, 2019 (Wide) (Japan)
",,,101 minutes,,Create your own comparison chart…,,Original Screenplay,Action,Live Action,Factual,,Japan,Japanese,n/a,"$7,858,150","$7,858,150",,,
17,https://www.the-numbers.com/movie/incroyable-histoire-du-facteur-Cheval-L-(France)-(2019),[],"[['Nils Tavernier', 'Director']]",,,,,,,,"January 18th, 2019 (Wide) (France)
April 26th, 2019 (Wide), released as A Incrível História do Carteiro Cheval (Portugal)
June 20th, 2019 (Wide), released as The Ideal Palace (New Zealand)
December 6th, 2019 (Wide), released as The Ideal Palace (Australia)
November 6th, 2020 (Wide), released as El Palacio ideal (Spain)
... Show all releases
",,,105 minutes,,Create your own comparison chart…,,Based on Real Life Events,Drama,Live Action,Dramatization,,"Belgium, France",French,n/a,"$9,971,756","$9,971,756",,,
18,https://www.the-numbers.com/movie/Kid-Who-Would-Be-King-The-(UK)-(2019),"['Patrick Stewart', 'Angus Imrie', 'Louis Ashbourne Serkis', 'Tom Taylor', 'Rebecca Ferguson']","[['Joe Cornish', 'Director'], ['Joe Cornish', 'Screenwriter'], ['Nira Park', 'Producer'], ['Tim Bevan', 'Producer'], ['Eric Fellner', 'Producer'], ['James Biddle', 'Executive Producer'], ['Rachael Prior', 'Executive Producer'], ['Bill Pope', 'Director of Photography'], ['Marcus Rowland', 'Production Designer'], ['Jonathan Amos', 'Editor'], ['Paul Machliss', 'Editor'], ['Christophe Beck', 'Composer'], ['Jany Temime', 'Costume Designer'], ['Nick Angel', 'Music Supervisor']]","$7,173,887 (42.7% of total gross)",2.34 (domestic box office/biggest weekend),59.3% (domestic box office/worldwide),"$59,000,000 (worldwide box office is 0.5 times production budget)","3,521 opening theaters/3,528 max. theaters, 2.8 weeks average run per theater","$19,155,425","January 25th, 2019 (Wide) by 20th Century Fox","January 18th, 2019 (Wide) (Australia)
January 18th, 2019 (Wide) (Malaysia)
January 18th, 2019 (Wide) (South Korea)
January 25th, 2019 (Wide) (Indonesia)
January 25th, 2019 (Wide) (Philippines)
... Show all releases
","April 2nd, 2019 by Fox Home Entertainment","PG for fantasy action violence, scary images, thematic elements including some bullying, and language.(Rating bulletin 2552 (Cert #51719), 11/7/2018)",132 minutes,,vs. The Odd Life of Timothy GreenCreate your own comparison chart…,"Bullies, Secret Magic, Same Role, Multiple Actors, Good vs. Evil, Dragon",Original Screenplay,Adventure,Live Action,Fantasy,"Working Title Films, Big Talk Pictures, 20th Century Fox",United Kingdom,English,"$16,790,790","$11,506,193","$28,296,983","$1,048,055","$1,242,638","$2,290,693"
19,https://www.the-numbers.com/movie/Masukaredo-hoteru-(Japan)-(2019),[],"[['Masayuki Suzuki', 'Director'], ['Michitaka Okada', 'Screenwriter'], ['Juichi Uehara', 'Producer'], ['Kazutoshi Wadakura', 'Producer'], ['Minami Ichikawa', 'Executive Producer']]",,,,,,,,"January 18th, 2019 (Wide) (Japan)
September 4th, 2020 (Wide), released as Masquerade Hotel (China)
",,,133 minutes,,Create your own comparison chart…,,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,"Cine Bazar, Fuji Television Network",Japan,Japanese,n/a,"$41,885,312","$41,885,312",,,
20,https://www.the-numbers.com/movie/Boonie-Bears-Blast-Into-The-Past-(China)(2019),[],"[['Leon Ding', 'Director']]",,,,,,,,"January 19th, 2019 (Wide), released as Boonie Bears:Blast Into The Past (China)
September 19th, 2019 (Wide), released as Побег из джунглей (Russia (CIS))
November 15th, 2019 (Wide), released as Ayı Kardeşler: Zamanda Yolculuk (Turkey)
January 10th, 2020 (Wide), released as Medvídci Boonie: Cesta do pravěku (Czech Republic)
January 17th, 2020 (Wide), released as Medvedíci Boonie: Cesta do praveku (Slovakia)
... Show all releases
","December 1st, 2020 by Cinedigm",,90 minutes,Boonie Bears,Create your own comparison chart…,,Original Screenplay,Adventure,Digital Animation,Kids Fiction,,China,"English, Mandarin",n/a,"$112,294,128","$112,294,128",,,
21,https://www.the-numbers.com/movie/Geukhanjikeob-(S-Korea)-(2019),"['Ryu Seung-yong', 'Lee Hanee', 'Jin Sun-kyu', 'Lee Dong-hwi', 'Gong-myeong']","[['Byeong-Hun Lee', 'Director']]",,,1.3% (domestic box office/worldwide),,,"$1,786,407","January 25th, 2019 (Limited) by CJ Entertainment, released as Extreme Job","January 23rd, 2019 (Wide) (South Korea)
February 8th, 2019 (Wide), released as Extreme Job (Australia)
October 15th, 2020 (Wide), released as Экстремальная работа (Russia (CIS))
",,Not Rated,111 minutes,,Create your own comparison chart…,"Undercover, Narcotics, Crime Boss, Food, Restaurants",Original Screenplay,Action,Live Action,Contemporary Fiction,"CJ Entertainment, Hartbeat Productions",Republic of Korea,Korean,"$1,565,885","$114,561,676","$116,127,561",,,
22,https://www.the-numbers.com/movie/Babushka-lyogkogo-povedeniya-2-(Russia)(2019),[],"[['Marius Balchunas', 'Director']]",,,,,,,,"January 24th, 2019 (Wide), released as БАБУШКА ЛЕГКОГО ПОВЕДЕНИЯ 2 (Russia (CIS))
January 25th, 2019 (Wide), released as Laisvo elgesio močiutė 2: Pagyvenę keršytojai (Lithuania)
February 15th, 2019 (Limited), released as Naughty Grandma 2 (United Kingdom)
",,,86 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Russian Federation,Russian,n/a,"$7,142,802","$7,142,802",,,
23,https://www.the-numbers.com/movie/Serenity-(2019),"['Jason Clarke', 'Diane Lane', 'Djimon Hounsou', 'Jeremy Strong', 'Matthew McConaughey', 'Anne Hathaway']","[['Steven Knight', 'Director'], ['Steven Knight', 'Screenwriter'], ['Greg Shapiro', 'Producer'], ['Guy Heeley', 'Producer'], ['Steven Knight', 'Producer'], ['Stuart Ford', 'Executive Producer'], ['Deborah Zipser', 'Executive Producer'], ['Karine Martin', 'Executive Producer'], ['David Lipman', 'Executive Producer'], ['Jeffrey Stentz', 'Executive Producer'], ['Carsten Lorenz', 'Executive Producer'], ['Paul Webster', 'Executive Producer'], ['David Dinerstein', 'Executive Producer'], ['Jason Resnick', 'Executive Producer'], ['William Sadler', 'Executive Producer'], ['Andreas Habermeyer', 'Co-Producer'], ['Jess Hall', 'Director of Photography'], ['Andrew McAlpine', 'Production Designer'], ['Laura Jennings', 'Editor'], ['Danny Glicker', 'Costume Designer'], ['Benjamin Wallfisch', 'Composer']]","$4,415,403 (51.7% of total gross)",1.94 (domestic box office/biggest weekend),65.7% (domestic box office/worldwide),"$25,000,000 (worldwide box office is 0.5 times production budget)","2,561 opening theaters/2,561 max. theaters, 2.1 weeks average run per theater","$9,750,717","January 25th, 2019 (Wide) by Aviron Pictures","January 24th, 2019 (Wide), released as МОРЕ СОБЛАЗНА (Russia (CIS))
January 25th, 2019 (Wide), released as Фатално затишие (Bulgaria)
January 25th, 2019 (Wide) (Netherlands)
January 25th, 2019 (Wide), released as Serenidade (Portugal)
February 1st, 2019 (Wide), released as Ticho před bouří (Czech Republic)
... Show all releases
","April 30th, 2019 by Universal Home Entertainment","R for language throughout, sexual content, and some bloody images.(Rating bulletin 2544 (Cert #51662), 9/12/2018)",103 minutes,,vs. Bad Times at the El RoyaleCreate your own comparison chart…,"Film Noir, The Past Catching up with You, Betrayal, On a Boat, Relationships Gone Wrong, Domestic Abuse, Surprise Twist, Video Game, Fishing, Crime Thriller, Famously Bad",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Global Road Entertainment, Aviron Pictures, Starlings Entertainment, Nebulastar Films, Shoebox Films",United States,English,"$8,547,045","$4,461,759","$13,008,804","$1,118,497","$603,980","$1,722,477"
24,https://www.the-numbers.com/movie/BTS-World-Tour-Love-Yourself-in-Seoul-(South-Korea)-(2019),[],[],,,,,,,,"January 25th, 2019 (Wide) (Argentina)
January 25th, 2019 (Wide), released as Bts World Tour: Love Yourself (Australia)
January 25th, 2019 (Wide) (Brazil)
January 25th, 2019 (Wide) (Germany)
January 26th, 2019 (Wide) (Italy)
... Show all releases
",,,112 minutes,BTS,vs. One Direction: This is UsCreate your own comparison chart…,,Based on Musical Group,Concert/Performance,Live Action,Factual,,Republic of Korea,Korean,n/a,"$6,587,004","$6,587,004",,,
25,https://www.the-numbers.com/movie/Juninin-no-shinitai-kodomotachi-(Japan)-(2019),[],"[['Yukihiko Tsutsumi', 'Director']]",,,,,,,,"January 25th, 2019 (Wide) (Japan)
",,,117 minutes,,Create your own comparison chart…,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,Japan,Japanese,n/a,"$11,950,916","$11,950,916",,,
26,https://www.the-numbers.com/movie/Mirreyes-contra-Godinez-(Mexico)-(2019),[],"[['Chava Cartas', 'Director']]",,,,,,,,"January 25th, 2019 (Wide) (Mexico)
",,,109 minutes,,Create your own comparison chart…,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Mexico,Spanish,n/a,"$11,949,192","$11,949,192",,,
27,https://www.the-numbers.com/movie/Misz-masz-czyli-kogel-mogel-3-(Poland)-(2019),[],"[['Kordian Piwowarski', 'Director']]",,,,,,,,"January 25th, 2019 (Wide) (Poland)
March 15th, 2019 (Limited) (United Kingdom)
",,,100 minutes,,Create your own comparison chart…,,Original Screenplay,Romantic Comedy,Live Action,,,Poland,Polish,n/a,"$13,133,367","$13,133,367",,,
